"11265","Borussia Dortmund","Hansa Rostock",1,0,1,2000,2000-08-11 14:15:00
"11266","1. FC Kaiserslautern","VfL Bochum",0,1,1,2000,2000-08-12 09:30:00
"11267","Bayer Leverkusen","VfL Wolfsburg",2,0,1,2000,2000-08-12 09:30:00
"11268","SC Freiburg","VfB Stuttgart",4,0,1,2000,2000-08-12 09:30:00
"11269","Werder Bremen","Energie Cottbus",3,1,1,2000,2000-08-12 09:30:00
"11270","Hamburger SV","TSV 1860 Muenchen",2,2,1,2000,2000-08-12 09:30:00
"11271","Bayern Muenchen","Hertha BSC Berlin",4,1,1,2000,2000-08-12 14:15:00
"11272","Eintracht Frankfurt","SpVgg Unterhaching",3,0,1,2000,2000-08-13 11:30:00
"11273","Schalke 04","1. FC Koeln",2,1,1,2000,2000-08-13 11:30:00
"11274","Energie Cottbus","Borussia Dortmund",1,4,2,2000,2000-08-18 14:15:00
"11275","TSV 1860 Muenchen","Werder Bremen",2,1,2,2000,2000-08-19 09:30:00
"11276","SpVgg Unterhaching","SC Freiburg",1,1,2,2000,2000-08-19 09:30:00
"11277","VfL Wolfsburg","1. FC Kaiserslautern",4,0,2,2000,2000-08-19 09:30:00
"11278","VfL Bochum","Bayern Muenchen",0,3,2,2000,2000-08-19 09:30:00
"11279","Hertha BSC Berlin","Hamburger SV",4,0,2,2000,2000-08-19 09:30:00
"11280","VfB Stuttgart","Bayer Leverkusen",4,1,2,2000,2000-08-19 14:15:00
"11281","Hansa Rostock","Schalke 04",0,4,2,2000,2000-08-20 11:30:00
"11282","1. FC Koeln","Eintracht Frankfurt",4,1,2,2000,2000-08-20 11:30:00
"11283","SC Freiburg","1. FC Koeln",0,0,3,2000,2000-09-05 12:15:00
"11284","1. FC Kaiserslautern","VfB Stuttgart",1,0,3,2000,2000-09-05 14:15:00
"11285","Bayer Leverkusen","SpVgg Unterhaching",1,0,3,2000,2000-09-05 14:15:00
"11286","Schalke 04","Energie Cottbus",3,0,3,2000,2000-09-05 14:15:00
"11287","Hamburger SV","Werder Bremen",2,1,3,2000,2000-09-06 12:15:00
"11288","Bayern Muenchen","VfL Wolfsburg",3,1,3,2000,2000-09-06 14:15:00
"11289","Eintracht Frankfurt","Hansa Rostock",4,0,3,2000,2000-09-06 14:15:00
"11290","Borussia Dortmund","TSV 1860 Muenchen",2,3,3,2000,2000-09-06 14:15:00
"11291","Hertha BSC Berlin","VfL Bochum",4,0,3,2000,2000-09-06 14:15:00
"11292","SpVgg Unterhaching","1. FC Kaiserslautern",0,0,4,2000,2000-09-08 14:15:00
"11293","TSV 1860 Muenchen","Schalke 04",1,1,4,2000,2000-09-09 09:30:00
"11294","1. FC Koeln","Bayer Leverkusen",1,1,4,2000,2000-09-09 09:30:00
"11295","VfB Stuttgart","Bayern Muenchen",2,1,4,2000,2000-09-09 09:30:00
"11296","VfL Wolfsburg","Hertha BSC Berlin",2,1,4,2000,2000-09-09 09:30:00
"11297","VfL Bochum","Hamburger SV",0,4,4,2000,2000-09-09 09:30:00
"11298","Werder Bremen","Borussia Dortmund",1,2,4,2000,2000-09-09 14:15:00
"11299","Hansa Rostock","SC Freiburg",0,0,4,2000,2000-09-10 11:30:00
"11300","Energie Cottbus","Eintracht Frankfurt",2,0,4,2000,2000-09-10 11:30:00
"11301","1. FC Kaiserslautern","1. FC Koeln",3,1,5,2000,2000-09-15 14:15:00
"11302","Bayer Leverkusen","Hansa Rostock",1,2,5,2000,2000-09-16 09:30:00
"11303","SC Freiburg","Energie Cottbus",4,1,5,2000,2000-09-16 09:30:00
"11304","Eintracht Frankfurt","TSV 1860 Muenchen",1,0,5,2000,2000-09-16 09:30:00
"11305","VfL Bochum","VfL Wolfsburg",2,1,5,2000,2000-09-16 09:30:00
"11306","Hamburger SV","Borussia Dortmund",2,3,5,2000,2000-09-16 09:30:00
"11307","Bayern Muenchen","SpVgg Unterhaching",3,1,5,2000,2000-09-16 14:15:00
"11308","Schalke 04","Werder Bremen",1,1,5,2000,2000-09-17 11:30:00
"11309","Hertha BSC Berlin","VfB Stuttgart",2,0,5,2000,2000-09-17 11:30:00
"11310","TSV 1860 Muenchen","SC Freiburg",3,1,6,2000,2000-09-22 14:15:00
"11311","1. FC Koeln","Bayern Muenchen",1,2,6,2000,2000-09-23 09:30:00
"11312","VfB Stuttgart","VfL Bochum",1,1,6,2000,2000-09-23 09:30:00
"11313","VfL Wolfsburg","Hamburger SV",4,4,6,2000,2000-09-23 09:30:00
"11314","Borussia Dortmund","Schalke 04",0,4,6,2000,2000-09-23 09:30:00
"11315","Werder Bremen","Eintracht Frankfurt",1,1,6,2000,2000-09-23 09:30:00
"11316","Energie Cottbus","Bayer Leverkusen",1,2,6,2000,2000-09-23 14:15:00
"11317","Hansa Rostock","1. FC Kaiserslautern",1,0,6,2000,2000-09-24 11:30:00
"11318","SpVgg Unterhaching","Hertha BSC Berlin",5,2,6,2000,2000-09-24 11:30:00
"11319","Eintracht Frankfurt","Borussia Dortmund",1,1,7,2000,2000-09-29 14:15:00
"11320","Bayern Muenchen","Hansa Rostock",0,1,7,2000,2000-09-30 09:30:00
"11321","1. FC Kaiserslautern","Energie Cottbus",1,1,7,2000,2000-09-30 09:30:00
"11322","VfL Bochum","SpVgg Unterhaching",3,0,7,2000,2000-09-30 09:30:00
"11323","Hertha BSC Berlin","1. FC Koeln",4,2,7,2000,2000-09-30 09:30:00
"11324","Hamburger SV","Schalke 04",2,0,7,2000,2000-09-30 09:30:00
"11325","Bayer Leverkusen","TSV 1860 Muenchen",0,0,7,2000,2000-09-30 14:15:00
"11326","SC Freiburg","Werder Bremen",0,1,7,2000,2000-10-01 11:30:00
"11327","VfL Wolfsburg","VfB Stuttgart",2,2,7,2000,2000-10-01 11:30:00
"11328","Borussia Dortmund","SC Freiburg",1,0,8,2000,2000-10-13 14:15:00
"11329","TSV 1860 Muenchen","1. FC Kaiserslautern",0,4,8,2000,2000-10-14 09:30:00
"11330","1. FC Koeln","VfL Bochum",2,0,8,2000,2000-10-14 09:30:00
"11331","Schalke 04","Eintracht Frankfurt",4,0,8,2000,2000-10-14 09:30:00
"11332","Werder Bremen","Bayer Leverkusen",3,3,8,2000,2000-10-14 09:30:00
"11333","Energie Cottbus","Bayern Muenchen",1,0,8,2000,2000-10-14 09:30:00
"11334","VfB Stuttgart","Hamburger SV",3,3,8,2000,2000-10-14 14:15:00
"11335","Hansa Rostock","Hertha BSC Berlin",0,2,8,2000,2000-10-15 11:30:00
"11336","SpVgg Unterhaching","VfL Wolfsburg",0,3,8,2000,2000-10-15 11:30:00
"11337","1. FC Kaiserslautern","Werder Bremen",2,0,9,2000,2000-10-20 14:15:00
"11338","Bayern Muenchen","TSV 1860 Muenchen",3,1,9,2000,2000-10-21 09:30:00
"11339","VfB Stuttgart","SpVgg Unterhaching",2,2,9,2000,2000-10-21 09:30:00
"11340","VfL Wolfsburg","1. FC Koeln",6,0,9,2000,2000-10-21 09:30:00
"11341","Hertha BSC Berlin","Energie Cottbus",3,1,9,2000,2000-10-21 09:30:00
"11342","Hamburger SV","Eintracht Frankfurt",2,0,9,2000,2000-10-21 09:30:00
"11343","Bayer Leverkusen","Borussia Dortmund",2,0,9,2000,2000-10-21 14:15:00
"11344","SC Freiburg","Schalke 04",3,1,9,2000,2000-10-22 11:30:00
"11345","VfL Bochum","Hansa Rostock",1,2,9,2000,2000-10-22 11:30:00
"11346","Energie Cottbus","VfL Bochum",2,0,10,2000,2000-10-27 14:15:00
"11347","Hansa Rostock","VfL Wolfsburg",1,1,10,2000,2000-10-28 09:30:00
"11348","SpVgg Unterhaching","Hamburger SV",2,1,10,2000,2000-10-28 09:30:00
"11349","Eintracht Frankfurt","SC Freiburg",3,0,10,2000,2000-10-28 09:30:00
"11350","Borussia Dortmund","1. FC Kaiserslautern",1,2,10,2000,2000-10-28 09:30:00
"11351","Werder Bremen","Bayern Muenchen",1,1,10,2000,2000-10-28 09:30:00
"11352","Schalke 04","Bayer Leverkusen",0,0,10,2000,2000-10-28 14:15:00
"11353","TSV 1860 Muenchen","Hertha BSC Berlin",0,1,10,2000,2000-10-29 11:30:00
"11354","1. FC Koeln","VfB Stuttgart",3,2,10,2000,2000-10-29 11:30:00
"11355","Bayer Leverkusen","Eintracht Frankfurt",1,0,11,2000,2000-11-03 14:15:00
"11356","1. FC Kaiserslautern","Schalke 04",3,2,11,2000,2000-11-04 09:30:00
"11357","VfB Stuttgart","Hansa Rostock",1,0,11,2000,2000-11-04 09:30:00
"11358","Hertha BSC Berlin","Werder Bremen",4,1,11,2000,2000-11-04 09:30:00
"11359","Hamburger SV","SC Freiburg",5,0,11,2000,2000-11-04 09:30:00
"11360","VfL Bochum","TSV 1860 Muenchen",1,1,11,2000,2000-11-04 09:30:00
"11361","Bayern Muenchen","Borussia Dortmund",6,2,11,2000,2000-11-04 14:15:00
"11362","SpVgg Unterhaching","1. FC Koeln",0,0,11,2000,2000-11-05 11:30:00
"11363","VfL Wolfsburg","Energie Cottbus",1,1,11,2000,2000-11-05 11:30:00
"11364","Borussia Dortmund","Hertha BSC Berlin",2,0,12,2000,2000-11-10 14:15:00
"11365","TSV 1860 Muenchen","VfL Wolfsburg",2,2,12,2000,2000-11-11 09:30:00
"11366","Hansa Rostock","SpVgg Unterhaching",2,2,12,2000,2000-11-11 09:30:00
"11367","1. FC Koeln","Hamburger SV",4,2,12,2000,2000-11-11 09:30:00
"11368","Schalke 04","Bayern Muenchen",3,2,12,2000,2000-11-11 09:30:00
"11369","SC Freiburg","Bayer Leverkusen",0,1,12,2000,2000-11-11 09:30:00
"11370","Werder Bremen","VfL Bochum",2,0,12,2000,2000-11-11 14:15:00
"11371","Eintracht Frankfurt","1. FC Kaiserslautern",3,1,12,2000,2000-11-12 11:30:00
"11372","Energie Cottbus","VfB Stuttgart",2,1,12,2000,2000-11-12 11:30:00
"11373","VfB Stuttgart","TSV 1860 Muenchen",2,2,13,2000,2000-11-17 14:15:00
"11374","Bayern Muenchen","Eintracht Frankfurt",1,2,13,2000,2000-11-18 09:30:00
"11375","1. FC Kaiserslautern","SC Freiburg",0,2,13,2000,2000-11-18 09:30:00
"11376","1. FC Koeln","Hansa Rostock",5,2,13,2000,2000-11-18 09:30:00
"11377","VfL Wolfsburg","Werder Bremen",1,1,13,2000,2000-11-18 09:30:00
"11378","Hertha BSC Berlin","Schalke 04",0,4,13,2000,2000-11-18 09:30:00
"11379","Hamburger SV","Bayer Leverkusen",1,3,13,2000,2000-11-18 14:15:00
"11380","SpVgg Unterhaching","Energie Cottbus",2,1,13,2000,2000-11-19 11:30:00
"11381","VfL Bochum","Borussia Dortmund",1,1,13,2000,2000-11-19 11:30:00
"11382","Schalke 04","VfL Bochum",2,1,14,2000,2000-11-24 14:15:00
"11383","SC Freiburg","Bayern Muenchen",1,1,14,2000,2000-11-25 09:30:00
"11384","Borussia Dortmund","VfL Wolfsburg",2,1,14,2000,2000-11-25 09:30:00
"11385","Energie Cottbus","1. FC Koeln",0,2,14,2000,2000-11-25 09:30:00
"11386","Eintracht Frankfurt","Hertha BSC Berlin",0,4,14,2000,2000-11-25 09:30:00
"11387","Hansa Rostock","Hamburger SV",1,0,14,2000,2000-11-25 14:15:00
"11388","TSV 1860 Muenchen","SpVgg Unterhaching",0,2,14,2000,2000-11-26 11:30:00
"11389","Werder Bremen","VfB Stuttgart",1,0,14,2000,2000-11-26 11:30:00
"11390","Bayer Leverkusen","1. FC Kaiserslautern",4,2,14,2000,2000-11-26 12:00:00
"11391","1. FC Koeln","TSV 1860 Muenchen",4,0,15,2000,2000-12-02 09:30:00
"11392","VfB Stuttgart","Borussia Dortmund",0,2,15,2000,2000-12-02 09:30:00
"11393","VfL Wolfsburg","Schalke 04",2,0,15,2000,2000-12-02 09:30:00
"11394","VfL Bochum","Eintracht Frankfurt",2,1,15,2000,2000-12-02 09:30:00
"11395","Hertha BSC Berlin","SC Freiburg",2,2,15,2000,2000-12-02 09:30:00
"11396","Bayern Muenchen","Bayer Leverkusen",2,0,15,2000,2000-12-02 14:15:00
"11397","1. FC Kaiserslautern","Hamburger SV",2,1,15,2000,2000-12-03 11:30:00
"11398","Energie Cottbus","Hansa Rostock",1,0,15,2000,2000-12-03 11:30:00
"11399","SpVgg Unterhaching","Werder Bremen",0,0,15,2000,2000-12-20 12:15:00
"11400","Eintracht Frankfurt","VfL Wolfsburg",1,2,16,2000,2000-12-08 14:15:00
"11401","TSV 1860 Muenchen","Hansa Rostock",2,1,16,2000,2000-12-09 09:30:00
"11402","SC Freiburg","VfL Bochum",5,0,16,2000,2000-12-09 09:30:00
"11403","Schalke 04","VfB Stuttgart",2,1,16,2000,2000-12-09 09:30:00
"11404","Borussia Dortmund","SpVgg Unterhaching",3,0,16,2000,2000-12-09 09:30:00
"11405","1. FC Kaiserslautern","Bayern Muenchen",0,0,16,2000,2000-12-09 14:15:00
"11406","Bayer Leverkusen","Hertha BSC Berlin",4,0,16,2000,2000-12-10 11:30:00
"11407","Werder Bremen","1. FC Koeln",2,1,16,2000,2000-12-10 11:30:00
"11408","Hamburger SV","Energie Cottbus",2,1,16,2000,2000-12-10 11:30:00
"11409","SpVgg Unterhaching","Schalke 04",0,2,17,2000,2000-12-12 12:15:00
"11410","VfB Stuttgart","Eintracht Frankfurt",4,1,17,2000,2000-12-12 14:15:00
"11411","VfL Wolfsburg","SC Freiburg",1,2,17,2000,2000-12-12 14:15:00
"11412","VfL Bochum","Bayer Leverkusen",3,2,17,2000,2000-12-13 12:15:00
"11413","Bayern Muenchen","Hamburger SV",2,1,17,2000,2000-12-13 14:15:00
"11414","Hansa Rostock","Werder Bremen",5,2,17,2000,2000-12-13 14:15:00
"11415","1. FC Koeln","Borussia Dortmund",0,0,17,2000,2000-12-13 14:15:00
"11416","Hertha BSC Berlin","1. FC Kaiserslautern",2,4,17,2000,2000-12-13 14:15:00
"11417","Energie Cottbus","TSV 1860 Muenchen",2,3,17,2000,2000-12-13 14:15:00
